부재ID,도면부재명,유형,구역,층,치수(mm),스팬/높이(mm),체적(m³)
SW-B2F-DONG-0083,SW,전단벽,DONG,B2F,600x1500,3300,2.97
SW-B2F-DONG-0084,SW,전단벽,DONG,B2F,1339x1119,3300,4.9481
SW-B2F-DONG-0085,SW,전단벽,DONG,B2F,1551x1396,3300,7.1486
SW-B2F-DONG-0086,SW,전단벽,DONG,B2F,600x1000,3300,1.98
SW-B2F-DONG-0087,SW,전단벽,DONG,B2F,600x2200,3300,4.356
SW-B2F-DONG-0088,SW,전단벽,DONG,B2F,1500x1000,3300,4.95
SW-B2F-DONG-0089,SW,전단벽,DONG,B2F,600x1400,3300,2.772
SW-B2F-DONG-0090,SW,전단벽,DONG,B2F,1500x1000,3300,4.95
SW-B2F-DONG-0091,SW,전단벽,DONG,B2F,1500x1200,3300,5.94
SW-B2F-DONG-0092,SW,전단벽,DONG,B2F,600x2200,3300,4.356
SW-B2F-DONG-0093,SW,전단벽,DONG,B2F,600x1400,3300,2.772
SW-B2F-DONG-0094,SW,전단벽,DONG,B2F,1500x1000,3300,4.95
SW-B2F-DONG-0095,SW,전단벽,DONG,B2F,1500x1000,3300,4.95
SW-B2F-DONG-0096,SW,전단벽,DONG,B2F,600x1500,3300,2.97
SW-B2F-DONG-0097,SW,전단벽,DONG,B2F,600x1500,3300,2.97
SW-B2F-DONG-0098,SW,전단벽,DONG,B2F,800x1500,3300,3.96
SW-B2F-DONG-0099,SW,전단벽,DONG,B2F,600x2650,3300,5.247
SW-B2F-DONG-0100,SW,전단벽,DONG,B2F,600x1200,3300,2.376
SW-B2F-DONG-0101,SW,전단벽,DONG,B2F,600x1300,3300,2.574
SW-B2F-DONG-0102,SW,전단벽,DONG,B2F,1832x1677,3300,10.1395
SW-B2F-DONG-0103,SW,전단벽,DONG,B2F,600x1500,3300,2.97
SW-B2F-DONG-0104,SW,전단벽,DONG,B2F,600x2850,3300,5.643
SW-B2F-DONG-0105,SW,전단벽,DONG,B2F,1339x1119,3300,4.9481
SW-B2F-DONG-0106,SW,전단벽,DONG,B2F,1551x1396,3300,7.1486
SW-B2F-DONG-0107,SW,전단벽,DONG,B2F,771x609,3300,1.5521
SW-B2F-DONG-0108,SW,전단벽,DONG,B2F,421x421,3300,0.5852
SW-B2F-DONG-0109,SW,전단벽,DONG,B2F,421x421,3300,0.5852
SW-B2F-DONG-0110,SW,전단벽,DONG,B2F,600x1000,3300,1.98
SW-B2F-DONG-0111,SW,전단벽,DONG,B2F,463x900,3300,1.3754
SW-B2F-DONG-0112,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0113,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0114,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0115,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0116,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0117,SW,전단벽,DONG,B2F,800x400,3300,1.056
SW-B2F-DONG-0118,SW,전단벽,DONG,B2F,800x400,3300,1.056
SW-B2F-DONG-0119,SW,전단벽,DONG,B2F,800x400,3300,1.056
SW-B2F-DONG-0120,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0121,SW,전단벽,DONG,B2F,600x1200,3300,2.376
SW-B2F-DONG-0122,SW,전단벽,DONG,B2F,600x1000,3300,1.98
SW-B2F-DONG-0123,SW,전단벽,DONG,B2F,600x1200,3300,2.376
SW-B2F-DONG-0124,SW,전단벽,DONG,B2F,600x1000,3300,1.98
SW-B2F-DONG-0125,SW,전단벽,DONG,B2F,500x700,3300,1.155
SW-B2F-DONG-0126,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0127,SW,전단벽,DONG,B2F,800x400,3300,1.056
SW-B2F-DONG-0128,SW,전단벽,DONG,B2F,873x581,3300,1.6757
SW-B2F-DONG-0129,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0130,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0131,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0132,SW,전단벽,DONG,B2F,1264x1683,3300,7.0251
SW-B2F-DONG-0133,SW,전단벽,DONG,B2F,600x2000,3300,3.96
SW-B2F-DONG-0134,SW,전단벽,DONG,B2F,872x1309,3300,3.7703
SW-B2F-DONG-0135,SW,전단벽,DONG,B2F,800x400,3300,1.056
SW-B2F-DONG-0136,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0137,SW,전단벽,DONG,B2F,600x2000,3300,3.96
SW-B2F-DONG-0138,SW,전단벽,DONG,B2F,851x1581,3300,4.4429
SW-B2F-DONG-0139,SW,전단벽,DONG,B2F,776x613,3300,1.5726
SW-B2F-DONG-0140,SW,전단벽,DONG,B2F,600x1000,3300,1.98
SW-B2F-DONG-0141,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0142,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0143,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0144,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0145,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0146,SW,전단벽,DONG,B2F,857x532,3300,1.5075
SW-B2F-DONG-0147,SW,전단벽,DONG,B2F,857x532,3300,1.5075
SW-B2F-DONG-0148,SW,전단벽,DONG,B2F,532x857,3300,1.5075
SW-B2F-DONG-0149,SW,전단벽,DONG,B2F,532x857,3300,1.5075
SW-B2F-DONG-0150,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0151,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0152,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0153,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0154,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0155,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0156,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0157,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0158,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0159,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0160,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0161,SW,전단벽,DONG,B2F,400x800,3300,1.056
SW-B2F-DONG-0162,SW,전단벽,DONG,B2F,581x873,3300,1.6757
SW-B2F-DONG-0163,SW,전단벽,DONG,B2F,532x857,3300,1.5075
SW-B2F-DONG-0164,SW,전단벽,DONG,B2F,905x1144,3300,3.4224
SW-B2F-DONG-0165,SW,전단벽,DONG,B2F,600x2400,3300,4.752
SW-B2F-DONG-0166,SW,전단벽,DONG,B2F,600x2500,3300,4.95
RB20-B2F-DONG-0001,RB20,보(X),DONG,B2F,400x900,2800,1.008
RB20-B2F-DONG-0002,RB20,보(X),DONG,B2F,400x900,1500,0.54
RB20-B2F-DONG-0003,RB20,보(X),DONG,B2F,400x900,4879,1.7564
RB20-B2F-DONG-0004,RB20,보(X),DONG,B2F,400x900,400,0.144
RB20-B2F-DONG-0005,RB20,보(X),DONG,B2F,400x900,400,0.144
RB20-B2F-DONG-0006,RB20,보(Y),DONG,B2F,400x900,1500,0.54
RB20-B2F-DONG-0007,RB20,보(Y),DONG,B2F,400x900,450,0.162
RB20-B2F-DONG-0008,RB20,보(X),DONG,B2F,400x900,2300,0.828
RB20-B2F-DONG-0009,RB20,보(X),DONG,B2F,400x900,300,0.108
RB20-B2F-DONG-0010,RB20,보(X),DONG,B2F,400x900,3940,1.4184
RB20-B2F-DONG-0011,RB20,보(X),DONG,B2F,400x900,2300,0.828
RB20-B2F-DONG-0012,RB20,보(X),DONG,B2F,400x900,920,0.3312
RB20-B2F-DONG-0013,RB20,보(Y),DONG,B2F,400x900,9600,3.456
RB20-B2F-DONG-0014,RB20,보(X),DONG,B2F,400x900,7800,2.808
RB20-B2F-DONG-0015,RB20,보(Y),DONG,B2F,400x900,800,0.288
RB20-B2F-DONG-0016,RB20,보(Y),DONG,B2F,400x900,800,0.288
RB20-B2F-DONG-0017,RB20,보(Y),DONG,B2F,400x900,800,0.288
C1-B1F-DONG-0001,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0002,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0003,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0004,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0005,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0006,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0007,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0008,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0009,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0010,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0011,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0012,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0013,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0014,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0015,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0016,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0017,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0018,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0019,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0020,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0021,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0022,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0023,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0024,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0025,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0026,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0027,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0028,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0029,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0030,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0031,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0032,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0033,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0034,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0035,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0036,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0037,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0038,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0039,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0040,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0041,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0042,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0043,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0044,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0045,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0046,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0047,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0048,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0049,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0050,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0051,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0052,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0053,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0054,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0055,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0056,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0057,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0058,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0059,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0060,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0061,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0062,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0063,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0064,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0065,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0066,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0067,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0068,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0069,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0070,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0071,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0072,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0073,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0074,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0075,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0076,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0077,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0078,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0079,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0080,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0081,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0082,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0083,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0084,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0085,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0086,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0087,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0088,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0089,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0090,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0091,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0092,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0093,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0094,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0095,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0096,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0097,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0098,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0099,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0100,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0101,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0102,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0103,C1,기둥,DONG,B1F,400x800,5820,1.8624
TC1-B1F-DONG-0001,TC1,기둥,DONG,B1F,600x1500,5820,5.238
TC2-B1F-DONG-0001,TC2,기둥,DONG,B1F,600x1200,5820,4.1904
TC8-B1F-DONG-0001,TC8,기둥,DONG,B1F,600x1800,5820,6.2856
TC2-B1F-DONG-0002,TC2,기둥,DONG,B1F,600x1200,5820,4.1904
TC2-B1F-DONG-0003,TC2,기둥,DONG,B1F,600x1200,5820,4.1904
TC1-B1F-DONG-0002,TC1,기둥,DONG,B1F,600x1500,5820,5.238
TC2-B1F-DONG-0004,TC2,기둥,DONG,B1F,600x1200,5820,4.1904
TC8-B1F-DONG-0002,TC8,기둥,DONG,B1F,600x1800,5820,6.2856
TC75-B1F-DONG-0001,TC75,기둥,DONG,B1F,1100x900,5820,5.7618
TC8-B1F-DONG-0003,TC8,기둥,DONG,B1F,600x1800,5820,6.2856
TC8-B1F-DONG-0004,TC8,기둥,DONG,B1F,600x1800,5820,6.2856
TC8-B1F-DONG-0005,TC8,기둥,DONG,B1F,600x1800,5820,6.2856
TC75-B1F-DONG-0002,TC75,기둥,DONG,B1F,1100x900,5820,5.7618
TC2-B1F-DONG-0005,TC2,기둥,DONG,B1F,600x1200,5820,4.1904
TC2-B1F-DONG-0006,TC2,기둥,DONG,B1F,600x1200,5820,4.1904
TC8-B1F-DONG-0006,TC8,기둥,DONG,B1F,600x1800,5820,6.2856
TC2-B1F-DONG-0007,TC2,기둥,DONG,B1F,600x1200,5820,4.1904
TC2-B1F-DONG-0008,TC2,기둥,DONG,B1F,600x1200,5820,4.1904
TC1-B1F-DONG-0003,TC1,기둥,DONG,B1F,600x1500,5820,5.238
TC1-B1F-DONG-0004,TC1,기둥,DONG,B1F,600x1500,5820,5.238
TC13-B1F-DONG-0001,TC13,기둥,DONG,B1F,1499x800,5820,6.984
TC13-B1F-DONG-0002,TC13,기둥,DONG,B1F,1500x800,5820,6.984
TC13-B1F-DONG-0003,TC13,기둥,DONG,B1F,1500x800,5820,6.984
C1-B1F-DONG-0104,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0105,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0106,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0107,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0108,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0109,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0110,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0111,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0112,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0113,C1,기둥,DONG,B1F,800x400,5820,1.8624
C1-B1F-DONG-0114,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0115,C1,기둥,DONG,B1F,400x800,5820,1.8624
C1-B1F-DONG-0116,C1,기둥,DONG,B1F,800x400,5820,1.8624
SW-B1F-DONG-0001,SW,전단벽,DONG,B1F,2867x400,5820,6.6802
SW-B1F-DONG-0002,SW,전단벽,DONG,B1F,2867x400,5820,6.6802
SW-B1F-DONG-0003,SW,전단벽,DONG,B1F,658x1096,5820,4.2048
SW-B1F-DONG-0004,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0005,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0006,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0007,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0008,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0009,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0010,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0011,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0012,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0013,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0014,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0015,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0016,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0017,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0018,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0019,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0020,SW,전단벽,DONG,B1F,400x900,5820,2.0952
SW-B1F-DONG-0021,SW,전단벽,DONG,B1F,771x888,5820,3.9891
SW-B1F-DONG-0022,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0023,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0024,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0025,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0026,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0027,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0028,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0029,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0030,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0031,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0032,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0033,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0034,SW,전단벽,DONG,B1F,800x400,5820,1.8624
SW-B1F-DONG-0035,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0036,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0037,SW,전단벽,DONG,B1F,600x1500,5820,5.238
SW-B1F-DONG-0038,SW,전단벽,DONG,B1F,600x1200,5820,4.1904
SW-B1F-DONG-0039,SW,전단벽,DONG,B1F,600x2650,5820,9.2538
SW-B1F-DONG-0040,SW,전단벽,DONG,B1F,600x1300,5820,4.5396
SW-B1F-DONG-0041,SW,전단벽,DONG,B1F,800x1500,5820,6.984
SW-B1F-DONG-0042,SW,전단벽,DONG,B1F,1832x1677,5820,17.8824
SW-B1F-DONG-0043,SW,전단벽,DONG,B1F,600x2850,5820,9.9522
SW-B1F-DONG-0044,SW,전단벽,DONG,B1F,600x1500,5820,5.238
SW-B1F-DONG-0045,SW,전단벽,DONG,B1F,600x1500,5820,5.238
SW-B1F-DONG-0046,SW,전단벽,DONG,B1F,1339x1119,5820,8.7266
SW-B1F-DONG-0047,SW,전단벽,DONG,B1F,1551x1396,5820,12.6075
SW-B1F-DONG-0048,SW,전단벽,DONG,B1F,600x1000,5820,3.492
SW-B1F-DONG-0049,SW,전단벽,DONG,B1F,600x2200,5820,7.6824
SW-B1F-DONG-0050,SW,전단벽,DONG,B1F,1500x1000,5820,8.73
SW-B1F-DONG-0051,SW,전단벽,DONG,B1F,600x1400,5820,4.8888
SW-B1F-DONG-0052,SW,전단벽,DONG,B1F,600x2200,5820,7.6824
SW-B1F-DONG-0053,SW,전단벽,DONG,B1F,600x1400,5820,4.8888
SW-B1F-DONG-0054,SW,전단벽,DONG,B1F,1500x1000,5820,8.73
SW-B1F-DONG-0055,SW,전단벽,DONG,B1F,600x1500,5820,5.238
SW-B1F-DONG-0056,SW,전단벽,DONG,B1F,600x1500,5820,5.238
SW-B1F-DONG-0057,SW,전단벽,DONG,B1F,800x1500,5820,6.984
SW-B1F-DONG-0058,SW,전단벽,DONG,B1F,600x2650,5820,9.2538
SW-B1F-DONG-0059,SW,전단벽,DONG,B1F,600x1200,5820,4.1904
SW-B1F-DONG-0060,SW,전단벽,DONG,B1F,600x1300,5820,4.5396
SW-B1F-DONG-0061,SW,전단벽,DONG,B1F,1832x1677,5820,17.8824
SW-B1F-DONG-0062,SW,전단벽,DONG,B1F,771x888,5820,3.9891
SW-B1F-DONG-0063,SW,전단벽,DONG,B1F,600x1500,5820,5.238
SW-B1F-DONG-0064,SW,전단벽,DONG,B1F,600x2850,5820,9.9522
SW-B1F-DONG-0065,SW,전단벽,DONG,B1F,1339x1119,5820,8.7266
SW-B1F-DONG-0066,SW,전단벽,DONG,B1F,1551x1396,5820,12.6075
SW-B1F-DONG-0067,SW,전단벽,DONG,B1F,600x1000,5820,3.492
SW-B1F-DONG-0068,SW,전단벽,DONG,B1F,3000x3000,5820,52.38
SW-B1F-DONG-0069,SW,전단벽,DONG,B1F,1042x1624,5820,9.8543
SW-B1F-DONG-0070,SW,전단벽,DONG,B1F,600x2000,5820,6.984
SW-B1F-DONG-0071,SW,전단벽,DONG,B1F,1264x1683,5820,12.3898
SW-B1F-DONG-0072,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0073,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0074,SW,전단벽,DONG,B1F,581x873,5820,2.9553
SW-B1F-DONG-0075,SW,전단벽,DONG,B1F,581x873,5820,2.9553
SW-B1F-DONG-0076,SW,전단벽,DONG,B1F,873x581,5820,2.9553
SW-B1F-DONG-0077,SW,전단벽,DONG,B1F,400x800,5820,1.8624
SW-B1F-DONG-0078,SW,전단벽,DONG,B1F,581x873,5820,2.9553
SW-B1F-DONG-0079,SW,전단벽,DONG,B1F,400x800,5820,1.8624
RB20-B1F-DONG-0001,RB20,보(X),DONG,B1F,400x900,1500,0.54
RB20-B1F-DONG-0002,RB20,보(X),DONG,B1F,400x900,4879,1.7564
RB20-B1F-DONG-0003,RB20,보(Y),DONG,B1F,400x900,1500,0.54
C1-B2F-PKG-0001,C1,기둥,PKG,B2F,400x800,3300,1.056
C1-B2F-PKG-0002,C1,기둥,PKG,B2F,400x800,3300,1.056
C1-B2F-PKG-0003,C1,기둥,PKG,B2F,800x400,3300,1.056
C1-B2F-PKG-0004,C1,기둥,PKG,B2F,800x400,3300,1.056
C1-B2F-PKG-0005,C1,기둥,PKG,B2F,400x800,3300,1.056
C1-B2F-PKG-0006,C1,기둥,PKG,B2F,400x800,3300,1.056
C1-B2F-PKG-0007,C1,기둥,PKG,B2F,400x800,3300,1.056
C1-B2F-PKG-0008,C1,기둥,PKG,B2F,400x800,3300,1.056
C1-B2F-PKG-0009,C1,기둥,PKG,B2F,400x800,3300,1.056
C1-B2F-PKG-0010,C1,기둥,PKG,B2F,400x800,3300,1.056
C1-B2F-PKG-0011,C1,기둥,PKG,B2F,400x800,3300,1.056
C1-B2F-PKG-0012,C1,기둥,PKG,B2F,400x800,3300,1.056
